,Word,Definition
0,3-й ММИ,3-й Московский медицинский институт МЗ РСФСР
1,АБК,авиационный боевой комплект
2,АБК,Ассоциация банков Кыргызстана
3,АБК,автоматизированный библиотечный комплекс
4,АБК,аппаратура бокового каротажа
5,АБК,Азиатский буддийский комитет
6,АБК,"автоматизированный банк классификаторов
автоматизированный банк общероссийских классификаторов"
7,АБК,Активные бизнес консультации
8,АБК,Альянс за будущее Косово
9,АБК,абсцизовая кислота
10,АБК,Ак Барс Капитал
11,АБК,алмазно-бриллиантовый комплекс России
12,АБК,"административно-бытовой корпус
административно-бытовой комплекс
административно-бытовой комбинат"
13,АБК,ацидофильная бульонная культура
14,"АБК, Арбум, Архбум",Архангельский бумажный комбинат
15,АКСБ,Алтайская краевая специальная библиотека для незрячих и слабовидящих
16,"АКСБ, АК СБ РФ, Сбербанк России, СБ РФ",Акционерный коммерческий сберегательный банк Российской Федерации
17,АСПОС ОКП,автоматизированная система по предупреждению опасных ситуаций в околоземном космическом пространстве
18,АСПОС ОКП,автоматизированная система предупреждения об опасных ситуациях в околоземном космическом пространстве
19,АФБ,Ассоциация французских банков
20,АФБ,Армянская фондовая биржа
21,"АФБ, АФБ РСФСР",Агентство федеральной безопасности РСФСР
22,БАРС,беспроводная аэростатная радиосеть
23,БАРС,Банк развития сельского хозяйства
24,БАРС,«Базовый автоматизированный расчёт смет»
25,БАРС,боевая армейская система рукопашного боя
26,БАРС,«Большой англо-русский словарь»
27,БАРС,"«бей актив, режь сук»;
«бей активистов, режь стукачей»"
28,БАРС,блок автоматического регулирования скорости
29,"БАРС УДС, БАРС",береговая автоматизированная радиолокационная система управления движением судов
30,"БЕЗО, СБ",служба безопасности
31,"БР-С, БРС",браслет ручной стальной
32,БРИС,Бюро расследований и статистики
33,БРС,бездисковая рабочая станция
34,БРС,башенная распылительная сушилка
35,БРС,быстроразъёмное соединение
36,БРС,Баренцев региональный совет
37,БРС,Банк «Развитие-Столица»
38,БРС,баллистический ракетный снаряд
39,БРС,Болгарский рабочий союз
40,БРС,Белросстрах
41,БРС,бурятско-русский словарь
42,БРС,блок регулирования скорости
43,БРС,биорезонансная стимуляция
44,БРС,Библиотека русского слова
45,БРС,быстрорежущая сталь
46,БРС,бортовая радиоаппаратура сопровождения
47,"БРС, БаРС",балльно-рейтинговая система
48,"БРС, РС",Банк «Русский Стандарт»
49,БРУ,"бетонорастворный узел
бетонно-растворный узел"
50,БРУ,боевой расчёт усиления
51,БРУ,борона ротационная универсальная
52,БРУ,"быстродействующая редукционная установка
быстродействующее редукционное устройство"
53,БРУ,боковая ручка управления
54,БРУ,Березниковское рудоуправление
55,БРУ,Белоручейское рудоуправление
56,БРУ,блочное распределительное устройство
57,БРУ,блокировочное реле утечки
58,БРУ,блок реле ускорения
59,БРУ,«Бакальские рудники»
60,БРУ,Боголюбовское рисовальное училище
61,БРУ,блок релейного управления
62,БРУ,Балаклавское государственное рудоуправление
63,БРУ,Богословское рудоуправление
64,БРУ,Бакальское рудоуправление
65,БРУ,Белорусско-российский университет
66,БРУ-,блок ручного управления
67,БРУ-,брагоректификационная установка
68,"БРиС, БРС",Банк расчётов и сбережений
69,БС,бывший сотрудник
70,БС,«Беларусь сегодня»
71,БС,блок связи
72,БС,беспроводная связь
73,БС,бомба-снаряд
74,БС,блок-станция
75,БС,Бетон столица
76,БС,бетонная смесь
77,БС,Баку — Супса
78,БС,блок смесительный
79,БС,Блоковский сборник
80,БС,боевая служба
81,БС,боковая сфинктеротомия
82,БС,боковая секция
83,БС,бурение скважин
84,БС,безопасность строительства
85,БС,биометрический считыватель
86,БС,бортовая станция
87,БС,банковская система
88,БС,бездомная собака
89,БС,блок-секция
90,БС,бинокль со стабилизацией изображения
91,БС,Бежицкая сталь
92,БС,блок согласования
93,БС,бронебойная пуля с сердечником
94,БС,бронебойный снаряд
95,БС,бортовая система
96,БС,библиографическая справка
97,БС,биологическое средство
98,БС,бесцветное стекло
99,БС,биржевой совет
100,БС,блокировочная станция
101,БС,боевой секрет
102,БС,блок-схема
103,БС,балансовая стоимость
104,БС,биологическая станция
105,БС,бустерная система
106,БС,балка стропильная
107,БС,бесконтактный сельсин-приёмник
108,БС,белый свет
109,БС,банковский счёт
110,БС,базовая радиостанция
111,БС,большая синица
112,БС,боевое средство
113,БС,балластное сопротивление
114,БС,барабан-сепаратор
115,БС,буровой стенд
116,БС,"бронестекло
бронированное стекло"
117,БС,белая сенсорика
118,БС,базовая станция
119,БС,бюджетная система
120,БС,Британский совет
121,БС,беспилотная система
122,БС,беспилотный самолёт
123,БС,безусловный стимул
124,БС,"баннерная сеть;
баннерная система"
125,БС,буровое судно
126,БС,"бактериальное средство
бактериологическое средство
биологическое средство"
127,БС,батарея стационарная
128,БС,белого света
129,БС,белое стекло
130,БС,береговая станция
131,БС,борона сетчатая
132,БС,башня сенажная
133,"БС, БСВ",Балтийская система высот
134,"БС, БСФ",бюджет субъекта федерации
135,"БС, СВБ",батальон связи
136,БСВ,базовая случайная величина
137,БСВ,Ближний и Средний Восток
138,БСВ,система бесщёточного возбуждения
139,БСВ,Братский союз военнопленных
140,БСВ,бытовые сточные воды
141,БСВ,бесшумная снайперская винтовка
142,БСВ,"баллонная, стеклянная, вакуумная"
143,БСФ,банковский страховой фонд
144,БСФ,Боливийская социалистическая фаланга
145,БСФ,бензолсодержащая фракция
146,БСФ-,блок сглаживающего фильтра
147,Барс,быстродействующий аварийный регистратор сигналов
148,БрС,бригада связи
149,ВВГМИ,Высший военный гидрометеорологический институт Красной Армии
150,ВВП,Вильям Васильевич Похлёбкин
151,ВВП,вертикальные взлёт и посадка
152,ВВП,Великий Волжский путь
153,ВВП,временный вахтовый посёлок
154,ВВП,Владимир Владимирович Путин
155,ВВП,всеобщая воинская подготовка
156,ВВП,валовой внутренний продукт
157,ВВП,водо-водяной подогреватель
158,ВВП,высоковольтный провод
159,ВВП,внутренние водные пути
160,ВВП,внестудийное видеопроизводство
161,ВВП,винно-водочная продукция
162,ВВП,Всероссийская великодержавная партия
163,ВВП,Владимир Владимирович Познер
164,ВВП,выпуск для внутреннего потребления
165,"ВСООВДВ «СДР», СДР",Всероссийский союз общественных объединений ветеранов десантных войск «Союз десантников России»
166,ВЧК,начальник отдела кадров вагонного участка
167,ВЧК,«Вист четверть копейки»
168,ВЧК,«всякому человеку крышка»
169,ВЧК,внутричерепное кровоизлияние
170,ВЧК,всенародная чрезвычайная комиссия
171,"ВЧК, ВЧК СНК РСФСР","Всероссийская чрезвычайная комиссия по борьбе с контрреволюцией и саботажем
Всероссийская чрезвычайная комиссия по борьбе с контрреволюцией, спекуляцией и преступлениями по должности при Совете Народных Комиссаров РСФСР"
172,ВШМП,Высшая школа местной промышленности
173,ВШПК,Высшая школа промысловой кооперации
174,ВвП,введение в профессию
175,"Владправда, ПВ",«Правда Владивостока»
176,ГАСБУ,Государственная академия сферы быта и услуг
177,ГЗПУ,групповая замерная переключающая установка
178,ГЗПУ,"городской запасной пункт управления;
городской защищённый пункт управления"
179,"ГЗПУ, ГПУ",газопоршневая установка
180,"ГК «МНП», МНП",Группа компаний «Морские и нефтегазовые проекты»
181,ГПУ,государственная публичная услуга
182,ГПУ,государственное природоохранное учреждение
183,ГПУ,"Генеральная прокуратура Украины
Генпрокуратура Украины"
184,ГПУ,гексагональная плотноупакованная
185,ГПУ,государственно-правовое управление
186,ГПУ,газопромышленное управление
187,ГПУ,государственный педагогический университет
188,ГПУ,"глубокая переработка углей
глубокая переработка угля"
189,ГПУ,государственное профессиональное училище
190,ГПУ,главный пост управления
191,ГПУ,Главное полицейское управление
192,ГПУ,газопылеуловительная установка
193,ГПУ,Государственно-правовое управление России
194,ГПУ,гибкая полимерная упаковка
195,ГПУ,гексагональная плотнейшая упаковка
196,ГПУ,газоперерабатывающая установка
197,ГПУ,Главное правовое управление
198,ГПУ,газопромысловое управление
199,ГПУ,главный пульт управления
200,ГПУ,Главное производственное управление
201,"ГПУ, ГПУ НКВД РСФСР",Государственное политическое управление при НКВД РСФСР
202,ГПУ-,газоперекачивающая установка
203,ГУЗЗ,Главное управление землеустройства и земледелия
